timestamp,pub_timestamp,defer_failsafes_timeout_s,publisher_id,disable_auto_disarm,defer_failsafes,source_type,source_id
1771685614636000,1771685614636000,0,93,0,0,0,0
1771685614648000,1771685614648000,0,93,0,0,0,0
1771685614660000,1771685614660000,0,93,0,0,0,0
1771685614672000,1771685614672000,0,93,0,0,0,0
1771685614684000,1771685614684000,0,93,0,0,0,0
1771685614696000,1771685614696000,0,93,0,0,0,0
1771685614708000,1771685614708000,0,93,0,0,0,0
1771685614720000,1771685614720000,0,93,0,0,0,0
1771685614732000,1771685614732000,0,93,0,0,0,0
1771685614744000,1771685614744000,0,93,0,0,0,0
1771685614756000,1771685614756000,0,93,0,0,0,0
1771685614768000,1771685614768000,0,93,0,0,0,0
1771685614780000,1771685614780000,0,93,0,0,0,0
1771685614792000,1771685614792000,0,93,0,0,0,0
1771685614804000,1771685614804000,0,93,0,0,0,0
1771685614816000,1771685614816000,0,93,0,0,0,0
1771685614828000,1771685614828000,0,93,0,0,0,0
1771685614840000,1771685614840000,0,93,0,0,0,0
1771685614852000,1771685614852000,0,93,0,0,0,0
1771685614864000,1771685614864000,0,93,0,0,0,0
1771685614876000,1771685614876000,0,93,0,0,0,0
1771685614888000,1771685614888000,0,93,0,0,0,0
1771685614900000,1771685614900000,0,93,0,0,0,0
1771685614912000,1771685614912000,0,93,0,0,0,0
1771685614924000,1771685614924000,0,93,0,0,0,0
1771685614936000,1771685614936000,0,93,0,0,0,0
1771685614948000,1771685614948000,0,93,0,0,0,0
1771685614960000,1771685614960000,0,93,0,0,0,0
1771685614972000,1771685614972000,0,93,0,0,0,0
1771685614984000,1771685614984000,0,93,0,0,0,0
1771685614996000,1771685614996000,0,93,0,0,0,0
1771685615008000,1771685615008000,0,93,0,0,0,0
1771685615020000,1771685615020000,0,93,0,0,0,0
1771685615032000,1771685615032000,0,93,0,0,0,0
1771685615044000,1771685615044000,0,93,0,0,0,0
1771685615056000,1771685615056000,0,93,0,0,0,0
1771685615068000,1771685615068000,0,93,0,0,0,0
1771685615080000,1771685615080000,0,93,0,0,0,0
1771685615092000,1771685615092000,0,93,0,0,0,0
