timestamp,pub_timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro,publisher_id
1771685666816000,1771685666816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039332703,0.0076867742,5.5395896e-11,-0.006512229,0.012545788,-9.790465,-0.00021305284,-0.0003195794,-0.0005965481,0.0008787083,0.00083990133,0.0018253754,3.2483316e-05,5.794513e-05,2.6958789e-05,0.0,0.0,126
1771685666916000,1771685666916000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03985241,0.0075795124,8.190806e-11,-0.0027772738,0.015323062,-9.819004,0.001768339,0.0018535601,-0.0020666132,0.001272396,0.0012911785,0.0013512254,6.983015e-05,4.1848158e-05,4.2207506e-05,0.0,0.0,126
1771685667016000,1771685667016000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039673083,0.007817453,1.05978865e-10,-0.020494366,-0.023558773,-9.803777,-0.000596548,0.0025779398,-0.0004687164,0.0007275501,0.0013182536,0.002441925,7.977373e-05,0.00014834237,3.759743e-05,0.0,0.0,126
1771685667116000,1771685667116000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03966319,0.007934401,1.02780784e-10,0.0115879355,0.007853154,-9.818334,0.0023861923,0.0014487597,0.0004900216,0.00078133726,0.0018617811,0.0006264022,0.00012754832,8.521599e-05,5.2340223e-05,0.0,0.0,126
1771685667216000,1771685667216000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040901724,0.008235026,1.2420402e-10,-0.011204864,0.00057478,-9.815844,0.0037497308,0.0048149955,0.0004474111,0.0010254527,0.000725735,0.002579842,4.471728e-05,9.675206e-05,8.323389e-05,0.0,0.0,126
1771685667316000,1771685667316000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040065452,0.008369884,1.1971195e-10,-0.0039264904,-0.013407358,-9.815461,0.0061146184,0.003813647,-0.002343582,0.00049147895,0.0007265566,0.0013154196,6.111592e-05,0.00013611976,4.2199943e-05,0.0,0.0,126
1771685667416000,1771685667416000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040851492,0.008679662,1.7488441e-10,0.014269441,-0.0003829012,-9.809427,0.001619202,0.0034940671,-0.0034727622,0.0012044694,0.0009036243,0.001097102,0.000101007514,0.00020662794,4.9177e-05,0.0,0.0,126
1771685667516000,1771685667516000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039257012,0.008634152,1.4621244e-10,-0.020973207,-0.005458609,-9.80416,0.0040053944,0.0070307455,-0.0027696872,0.00052128645,0.0013052797,0.0014313909,5.5158278e-05,0.0002154443,3.2648808e-05,0.0,0.0,126
1771685667616000,1771685667616000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03909849,0.008618726,7.775411e-11,0.011300633,-0.0068951296,-9.807321,0.0046658586,0.00029827395,-0.0019600866,0.00095657073,0.000828456,0.0018799467,7.0978174e-05,6.7900066e-05,3.867075e-05,0.0,0.0,126
1771685667716000,1771685667716000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03932176,0.008867256,1.3127341e-10,-0.010821791,-0.0103427805,-9.788837,0.004111921,0.0021305287,0.0016831177,0.0010934748,0.00048805878,0.0013867643,0.00012980372,7.662186e-05,5.569163e-05,0.0,0.0,126
