timestamp,timestamp_sample,pub_timestamp,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],publisher_id,estimator_instance,innovation_rejected,fused
1771685525612000,1771685525454000,0,1771685525460000,47.397742,8.5455937,0,0.25,0.25,0.0072855223,-0.012949787,0.0020222864,-0.0076439353,0.2575051,0.2575139,8.245092e-06,2.604861e-05,7.1251297e-06,-1.4783845e-05,0,0,0,1
1771685525660000,1771685525506000,0,1771685525508000,47.3977419,8.5455939,0,0.25,0.25,0.018431155,-0.027955748,0.0035680495,-0.009557367,0.25747937,0.25748795,5.277432e-05,0.00012140745,1.1425416e-05,-2.48281e-05,0,0,0,1
1771685525716000,1771685525558000,0,1771685525564000,47.397742099999995,8.5455939,0,0.25,0.25,-0.0041434565,-0.027590416,0.0028416032,-0.011256133,0.2575053,0.25751403,2.6668547e-06,0.000118243035,1.0097883e-05,-3.3628057e-05,0,0,0,1
1771685525764000,1771685525610000,0,1771685525612000,47.397742099999995,8.545593799999999,0,0.25,0.25,-0.0038605428,-0.019469608,0.0022102417,-0.012029867,0.25747916,0.25748786,2.3153393e-06,5.8886755e-05,8.928521e-06,-3.60075e-05,0,0,0,1
1771685525820000,1771685525662000,0,1771685525668000,47.397742,8.5455936,0,0.25,0.25,0.007757535,-0.0041548177,0.002732813,-0.011288014,0.2575051,0.25751394,9.348064e-06,2.6814098e-06,8.968043e-06,-3.2868084e-05,0,0,0,1
1771685525868000,1771685525714000,0,1771685525716000,47.397742099999995,8.5455937,0,0.25,0.25,-0.00343642,-0.011830744,0.0021516532,-0.011339141,0.25747898,0.2574878,1.8345548e-06,2.1743399e-05,7.950407e-06,-3.1820106e-05,0,0,0,1
1771685525924000,1771685525766000,0,1771685525772000,47.397742099999995,8.5455937,0,0.25,0.25,-0.0030073328,-0.0118877245,0.0016656617,-0.011390819,0.25750533,0.2575141,1.404872e-06,2.195111e-05,7.0691126e-06,-3.0890416e-05,0,0,0,1
1771685525972000,1771685525818000,0,1771685525820000,47.397742,8.5455936,0,0.25,0.25,0.008361161,-0.004234277,0.0022963972,-0.0107166525,0.2574792,0.25748792,1.0860529e-05,2.785234e-06,7.4262753e-06,-2.8242826e-05,0,0,0,1
1771685526028000,1771685525870000,0,1771685525876000,47.397742,8.545593499999999,0,0.25,0.25,0.008414018,0.0030815704,0.0028726947,-0.00941682,0.25750515,0.257514,1.0997171e-05,1.4750384e-06,7.762664e-06,-2.5443318e-05,0,0,0,1
1771685526076000,1771685525922000,0,1771685525924000,47.3977419,8.5455936,0,0.25,0.25,0.019343887,-0.004780007,0.004424329,-0.008980018,0.25747904,0.25748783,5.8130703e-05,3.5494443e-06,1.2507479e-05,-2.3380851e-05,0,0,0,1
1771685526132000,1771685525974000,0,1771685525980000,47.3977419,8.5455937,0,0.25,0.25,0.01904275,-0.012559753,0.0058014267,-0.00931724,0.2575054,0.25751412,5.6329132e-05,2.4503106e-05,1.6635606e-05,-2.3486571e-05,0,0,0,1
1771685526180000,1771685526026000,0,1771685526028000,47.397742,8.5455936,0,0.25,0.25,0.007467473,-0.004908921,0.005958373,-0.008901963,0.25747925,0.25748798,8.662935e-06,3.7434768e-06,1.5884558e-05,-2.1626714e-05,0,0,0,1
1771685526236000,1771685526078000,0,1771685526084000,47.397742099999995,8.5455936,0,0.25,0.25,-0.003561396,-0.005211961,0.005061583,-0.008554354,0.2575052,0.25751403,1.970219e-06,4.219504e-06,1.4202586e-05,-1.9986905e-05,0,0,0,1
1771685526284000,1771685526130000,0,1771685526132000,47.397742,8.5455936,0,0.25,0.25,0.007809303,-0.0052922666,0.005320426,-0.008247056,0.2574791,0.2574879,9.4742e-06,4.3509754e-06,1.3757158e-05,-1.8513954e-05,0,0,0,1
1771685526340000,1771685526182000,0,1771685526188000,47.397742099999995,8.5455937,0,0.25,0.25,-0.0033444914,-0.0130973365,0.0045041656,-0.008703967,0.25750545,0.25751418,1.7375356e-06,2.6645557e-05,1.22975125e-05,-1.9279974e-05,0,0,0,1
1771685526388000,1771685526234000,0,1771685526236000,47.397742099999995,8.5455936,0,0.25,0.25,-0.0030413507,-0.0054085795,0.003793356,-0.008393532,0.25747934,0.257488,1.4369796e-06,4.5443253e-06,1.10036835e-05,-1.7891833e-05,0,0,0,1
1771685526444000,1771685526286000,0,1771685526292000,47.397742099999995,8.545593499999999,0,0.25,0.25,-0.0027328636,0.0019410054,0.0031785672,-0.007419988,0.25750527,0.2575141,1.1601384e-06,5.8521096e-07,9.857817e-06,-1.6151242e-05,0,0,0,1
1771685526492000,1771685526338000,0,1771685526340000,47.397742099999995,8.5455936,0,0.25,0.25,-0.0026015092,-0.005968476,0.002634067,-0.0072832513,0.25747916,0.25748792,1.0514017e-06,5.5338837e-06,8.830137e-06,-1.5151056e-05,0,0,0,1
1771685526548000,1771685526390000,0,1771685526396000,47.397742199999996,8.5455937,0,0.25,0.25,-0.013444637,-0.013735647,0.0011194065,-0.007891086,0.25750512,0.257514,2.8078395e-05,2.9306058e-05,5.353246e-06,-1.6484499e-05,0,0,0,1
1771685526596000,1771685526442000,0,1771685526444000,47.397742099999995,8.5455937,0,0.25,0.25,-0.0017239932,-0.013595931,0.00085155,-0.008428499,0.2574794,0.25748807,4.6173054e-07,2.871579e-05,4.805458e-06,-1.7636721e-05,0,0,0,1
1771685526652000,1771685526494000,0,1771685526500000,47.397742099999995,8.545593799999999,0,0.25,0.25,-0.0013664769,-0.021126343,0.0006426055,-0.009624673,0.25750536,0.25751415,2.900536e-07,6.932782e-05,4.325446e-06,-2.2506174e-05,0,0,0,1
1771685526700000,1771685526546000,0,1771685526548000,47.397742,8.545593799999999,0,0.25,0.25,0.010032955,-0.020735541,0.0015272037,-0.010671349,0.25747925,0.257488,1.5637794e-05,6.679342e-05,5.3911017e-06,-2.667816e-05,0,0,0,1
1771685526756000,1771685526598000,0,1771685526604000,47.3977419,8.5455937,0,0.25,0.25,0.021156903,-0.01298499,0.0033763787,-0.010889301,0.2575052,0.2575141,6.953095e-05,2.6190406e-05,1.14332615e-05,-2.6632213e-05,0,0,0,1
1771685526804000,1771685526650000,0,1771685526652000,47.397742,8.5455937,0,0.25,0.25,0.009557027,-0.012868332,0.0039586136,-0.011075731,0.25747952,0.25748816,1.4189365e-05,2.5724516e-05,1.1692894e-05,-2.6546706e-05,0,0,0,1
1771685526860000,1771685526702000,0,1771685526708000,47.397742099999995,8.5455937,0,0.25,0.25,-0.0016119657,-0.012913225,0.0034338487,-0.011248829,0.2575055,0.25751424,4.036315e-07,2.5901696e-05,1.0553366e-05,-2.6485945e-05,0,0,0,1
1771685526908000,1771685526754000,0,1771685526756000,47.397742,8.545593799999999,0,0.25,0.25,0.009704003,-0.020286791,0.0040245154,-0.012100231,0.2574794,0.2574881,1.4629159e-05,6.393366e-05,1.0937318e-05,-3.0013627e-05,0,0,0,1
1771685526964000,1771685526806000,0,1771685526812000,47.397742099999995,8.5455936,0,0.25,0.25,-0.0015094957,-0.0050235037,0.0035031955,-0.011433583,0.25750536,0.25751418,3.5394635e-07,3.919876e-06,9.873648e-06,-2.755552e-05,0,0,0,1
1771685527012000,1771685526858000,0,1771685526860000,47.397742,8.545593499999999,0,0.25,0.25,0.009813808,0.0024172391,0.0040976736,-0.010128795,0.25747967,0.25748825,1.4962086e-05,9.076989e-07,1.0352994e-05,-2.4874202e-05,0,0,0,1
1771685527068000,1771685526910000,0,1771685526916000,47.397742,8.5455936,0,0.25,0.25,0.009691409,-0.005661701,0.0046246196,-0.009707982,0.25750566,0.25751433,1.4589724e-05,4.9791183e-06,1.0752106e-05,-2.3000028e-05,0,0,0,1
1771685527116000,1771685526962000,0,1771685526964000,47.397742099999995,8.5455937,0,0.25,0.25,-0.0016258269,-0.013293096,0.0040358095,-0.01004571,0.25747955,0.2574882,4.1064436e-07,2.7450797e-05,9.700543e-06,-2.3419303e-05,0,0,0,1
