timestamp,pub_timestamp,publisher_id,armed,prearmed,ready_to_arm,lockdown,kill,termination,in_esc_calibration_mode
1771685679580000,1771685679580000,93,1,0,1,0,0,0,0
1771685680084000,1771685680084000,93,1,0,1,0,0,0,0
1771685680588000,1771685680588000,93,1,0,1,0,0,0,0
1771685681092000,1771685681092000,93,1,0,1,0,0,0,0
1771685681596000,1771685681596000,93,1,0,1,0,0,0,0
1771685682100000,1771685682100000,93,1,0,1,0,0,0,0
1771685682604000,1771685682604000,93,1,0,1,0,0,0,0
1771685683108000,1771685683108000,93,1,0,1,0,0,0,0
1771685683612000,1771685683612000,93,1,0,1,0,0,0,0
1771685684116000,1771685684116000,93,1,0,1,0,0,0,0
1771685684620000,1771685684620000,93,1,0,1,0,0,0,0
1771685685124000,1771685685124000,93,1,0,1,0,0,0,0
1771685685628000,1771685685628000,93,1,0,1,0,0,0,0
1771685686132000,1771685686132000,93,1,0,1,0,0,0,0
1771685686636000,1771685686636000,93,1,0,1,0,0,0,0
1771685687140000,1771685687140000,93,1,0,1,0,0,0,0
1771685687644000,1771685687644000,93,1,0,1,0,0,0,0
1771685688148000,1771685688148000,93,1,0,1,0,0,0,0
1771685688652000,1771685688652000,93,1,0,1,0,0,0,0
1771685689156000,1771685689156000,93,1,0,1,0,0,0,0
1771685689660000,1771685689660000,93,1,0,1,0,0,0,0
1771685690164000,1771685690164000,93,1,0,1,0,0,0,0
1771685690668000,1771685690668000,93,1,0,1,0,0,0,0
1771685691172000,1771685691172000,93,1,0,1,0,0,0,0
1771685691676000,1771685691676000,93,1,0,1,0,0,0,0
1771685692180000,1771685692180000,93,1,0,1,0,0,0,0
1771685692684000,1771685692684000,93,1,0,1,0,0,0,0
1771685693188000,1771685693188000,93,1,0,1,0,0,0,0
1771685693692000,1771685693692000,93,1,0,1,0,0,0,0
1771685694196000,1771685694196000,93,1,0,1,0,0,0,0
1771685694700000,1771685694700000,93,1,0,1,0,0,0,0
1771685695204000,1771685695204000,93,1,0,1,0,0,0,0
1771685695708000,1771685695708000,93,1,0,1,0,0,0,0
1771685696212000,1771685696212000,93,1,0,1,0,0,0,0
1771685696716000,1771685696716000,93,1,0,1,0,0,0,0
1771685697220000,1771685697220000,93,1,0,1,0,0,0,0
