timestamp,pub_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,publisher_id
1771685124028000,1771685124028000,0.0,0.0,0.0,39
1771685124032000,1771685124032000,0.0,0.0,0.0,39
1771685124036000,1771685124036000,0.0,0.0,0.0,39
1771685124040000,1771685124040000,0.0,0.0,0.0,39
1771685124044000,1771685124044000,0.0,0.0,0.0,39
1771685124048000,1771685124048000,0.0,0.0,0.0,39
1771685124052000,1771685124052000,0.0,0.0,0.0,39
1771685124056000,1771685124056000,0.0,0.0,0.0,39
1771685124060000,1771685124060000,0.0,0.0,0.0,39
1771685124064000,1771685124064000,0.0,0.0,0.0,39
1771685124068000,1771685124068000,0.0,0.0,0.0,39
1771685124072000,1771685124072000,0.0,0.0,0.0,39
1771685124076000,1771685124076000,0.0,0.0,0.0,39
1771685124080000,1771685124080000,0.0,0.0,0.0,39
1771685124084000,1771685124084000,0.0,0.0,0.0,39
1771685124088000,1771685124088000,0.0,0.0,0.0,39
1771685124092000,1771685124092000,0.0,0.0,0.0,39
1771685124096000,1771685124096000,0.0,0.0,0.0,39
1771685124100000,1771685124100000,0.0,0.0,0.0,39
1771685124104000,1771685124104000,0.0,0.0,0.0,39
1771685124108000,1771685124108000,0.0,0.0,0.0,39
1771685124112000,1771685124112000,0.0,0.0,0.0,39
1771685124116000,1771685124116000,0.0,0.0,0.0,39
1771685124120000,1771685124120000,0.0,0.0,0.0,39
1771685124124000,1771685124124000,0.0,0.0,0.0,39
1771685124128000,1771685124128000,0.0,0.0,0.0,39
1771685124132000,1771685124132000,0.0,0.0,0.0,39
1771685124136000,1771685124136000,0.0,0.0,0.0,39
1771685124140000,1771685124140000,0.0,0.0,0.0,39
1771685124144000,1771685124144000,0.0,0.0,0.0,39
1771685124148000,1771685124148000,0.0,0.0,0.0,39
1771685124152000,1771685124152000,0.0,0.0,0.0,39
1771685124156000,1771685124156000,0.0,0.0,0.0,39
1771685124160000,1771685124160000,0.0,0.0,0.0,39
1771685124164000,1771685124164000,0.0,0.0,0.0,39
1771685124168000,1771685124168000,0.0,0.0,0.0,39
1771685124172000,1771685124172000,0.0,0.0,0.0,39
1771685124176000,1771685124176000,0.0,0.0,0.0,39
1771685124180000,1771685124180000,0.0,0.0,0.0,39
1771685124184000,1771685124184000,0.0,0.0,0.0,39
1771685124188000,1771685124188000,0.0,0.0,0.0,39
1771685124192000,1771685124192000,0.0,0.0,0.0,39
1771685124196000,1771685124196000,0.0,0.0,0.0,39
1771685124200000,1771685124200000,0.0,0.0,0.0,39
1771685124204000,1771685124204000,0.0,0.0,0.0,39
1771685124208000,1771685124208000,0.0,0.0,0.0,39
1771685124212000,1771685124212000,0.0,0.0,0.0,39
1771685124216000,1771685124216000,0.0,0.0,0.0,39
1771685124220000,1771685124220000,0.0,0.0,0.0,39
1771685124224000,1771685124224000,0.0,0.0,0.0,39
1771685124228000,1771685124228000,0.0,0.0,0.0,39
1771685124232000,1771685124232000,0.0,0.0,0.0,39
1771685124236000,1771685124236000,0.0,0.0,0.0,39
1771685124240000,1771685124240000,0.0,0.0,0.0,39
1771685124244000,1771685124244000,0.0,0.0,0.0,39
1771685124248000,1771685124248000,0.0,0.0,0.0,39
1771685124252000,1771685124252000,0.0,0.0,0.0,39
1771685124256000,1771685124256000,0.0,0.0,0.0,39
1771685124260000,1771685124260000,0.0,0.0,0.0,39
1771685124264000,1771685124264000,0.0,0.0,0.0,39
1771685124268000,1771685124268000,0.0,0.0,0.0,39
1771685124272000,1771685124272000,0.0,0.0,0.0,39
1771685124276000,1771685124276000,0.0,0.0,0.0,39
1771685124280000,1771685124280000,0.0,0.0,0.0,39
1771685124284000,1771685124284000,0.0,0.0,0.0,39
1771685124288000,1771685124288000,0.0,0.0,0.0,39
1771685124292000,1771685124292000,0.0,0.0,0.0,39
1771685124296000,1771685124296000,0.0,0.0,0.0,39
1771685124300000,1771685124300000,0.0,0.0,0.0,39
1771685124304000,1771685124304000,0.0,0.0,0.0,39
1771685124308000,1771685124308000,0.0,0.0,0.0,39
1771685124312000,1771685124312000,0.0,0.0,0.0,39
1771685124316000,1771685124316000,0.0,0.0,0.0,39
1771685124320000,1771685124320000,0.0,0.0,0.0,39
1771685124324000,1771685124324000,0.0,0.0,0.0,39
1771685124328000,1771685124328000,0.0,0.0,0.0,39
1771685124332000,1771685124332000,0.0,0.0,0.0,39
1771685124336000,1771685124336000,0.0,0.0,0.0,39
1771685124340000,1771685124340000,0.0,0.0,0.0,39
1771685124344000,1771685124344000,0.0,0.0,0.0,39
1771685124348000,1771685124348000,0.0,0.0,0.0,39
1771685124352000,1771685124352000,0.0,0.0,0.0,39
1771685124356000,1771685124356000,0.0,0.0,0.0,39
1771685124360000,1771685124360000,0.0,0.0,0.0,39
1771685124364000,1771685124364000,0.0,0.0,0.0,39
1771685124368000,1771685124368000,0.0,0.0,0.0,39
1771685124372000,1771685124372000,0.0,0.0,0.0,39
1771685124376000,1771685124376000,0.0,0.0,0.0,39
1771685124380000,1771685124380000,0.0,0.0,0.0,39
1771685124384000,1771685124384000,0.0,0.0,0.0,39
1771685124388000,1771685124388000,0.0,0.0,0.0,39
1771685124392000,1771685124392000,0.0,0.0,0.0,39
1771685124396000,1771685124396000,0.0,0.0,0.0,39
1771685124400000,1771685124400000,0.0,0.0,0.0,39
1771685124404000,1771685124404000,0.0,0.0,0.0,39
1771685124408000,1771685124408000,0.0,0.0,0.0,39
1771685124412000,1771685124412000,0.0,0.0,0.0,39
1771685124416000,1771685124416000,0.0,0.0,0.0,39
1771685124420000,1771685124420000,0.0,0.0,0.0,39
1771685124424000,1771685124424000,0.0,0.0,0.0,39
1771685124428000,1771685124428000,0.0,0.0,0.0,39
1771685124432000,1771685124432000,0.0,0.0,0.0,39
1771685124436000,1771685124436000,0.0,0.0,0.0,39
1771685124440000,1771685124440000,0.0,0.0,0.0,39
1771685124444000,1771685124444000,0.0,0.0,0.0,39
1771685124448000,1771685124448000,0.0,0.0,0.0,39
1771685124452000,1771685124452000,0.0,0.0,0.0,39
1771685124456000,1771685124456000,0.0,0.0,0.0,39
1771685124460000,1771685124460000,0.0,0.0,0.0,39
1771685124464000,1771685124464000,0.0,0.0,0.0,39
1771685124468000,1771685124468000,0.0,0.0,0.0,39
1771685124472000,1771685124472000,-1.3758395e-05,1.5593669e-06,-2.6636733e-06,39
