timestamp,pub_timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,publisher_id,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1771685122916000,1771685122916000,1771685122916000,1310988,1310988,2.0240059e-05,1.5978929e-05,-5.326302e-06,-0.0001292869,-0.000105344196,-0.039193083,4000,4000,126,0,0,0,1
1771685122920000,1771685122920000,1771685122920000,1310988,1310988,-1.065282e-06,5.326348e-06,-1.4913693e-05,-0.00018674774,-5.2671752e-05,-0.039408565,4000,4000,126,0,0,0,1
1771685122924000,1771685122924000,1771685122924000,1310988,1310988,-1.4913735e-05,-2.2370537e-05,-8.522107e-06,-0.00015322892,-4.309495e-05,-0.039360672,4000,4000,126,0,0,0,1
1771685122928000,1771685122928000,1771685122928000,1310988,1310988,-3.408856e-05,-1.1717828e-05,4.6871584e-05,-7.661446e-05,-0.0001005558,-0.039154775,4000,4000,126,0,0,0,1
1771685122932000,1771685122932000,1771685122932000,1310988,1310988,-3.6219117e-05,1.5978992e-05,5.965473e-05,-4.7884027e-06,-0.00013407462,-0.039169136,4000,4000,126,0,0,0,1
1771685122936000,1771685122936000,1771685122936000,1310988,1310988,-1.0652659e-05,6.3915727e-06,1.2783168e-05,-7.661446e-05,-0.000105344196,-0.039231393,4000,4000,126,0,0,0,1
1771685122940000,1771685122940000,1771685122940000,1310988,1310988,2.130512e-06,8.5221045e-06,-1.4913712e-05,-0.00020590135,-0.00011970941,-0.039183505,4000,4000,126,0,0,0,1
1771685122944000,1771685122944000,1771685122944000,1310988,1310988,5.326357e-06,4.0480045e-05,-2.2370552e-05,-0.00018195935,-0.0002442079,-0.039121255,4000,4000,126,0,0,0,1
1771685122948000,1771685122948000,1771685122948000,1310988,1310988,1.06525795e-05,3.3023196e-05,-3.7284277e-05,-0.00018195935,-0.00021547747,-0.03911647,4000,4000,126,0,0,0,1
1771685122952000,1771685122952000,1771685122952000,1310988,1310988,2.1305304e-05,8.522054e-06,-4.261109e-06,-0.0001436521,-5.7460154e-05,-0.03918351,4000,4000,126,0,0,0,1
1771685122956000,1771685122956000,1771685122956000,1310988,1310988,2.3435858e-05,4.2609527e-06,5.432848e-05,-4.7884046e-06,-6.224856e-05,-0.039231393,4000,4000,126,0,0,0,1
1771685122960000,1771685122960000,1771685122960000,1310988,1310988,1.1718042e-05,-2.7696859e-05,1.9174704e-05,8.619126e-05,-8.140216e-05,-0.039236177,4000,4000,126,0,0,0,1
1771685122964000,1771685122964000,1771685122964000,1310988,1310988,1.9174879e-05,-3.72842e-05,-2.556634e-05,6.7037654e-05,-8.619058e-05,-0.039250545,4000,4000,126,0,0,0,1
1771685122968000,1771685122968000,1771685122968000,1310988,1310988,9.587365e-06,5.326288e-06,8.522155e-06,-0.00010055648,-0.00019153545,-0.039250545,4000,4000,126,0,0,0,1
1771685122972000,1771685122972000,1771685122972000,1310988,1310988,-1.0652793e-06,3.4088447e-05,2.1305315e-05,-0.00020590135,-0.00019632383,-0.039274484,4000,4000,126,0,0,0,1
1771685122976000,1771685122976000,1771685122976000,1310988,1310988,1.810945e-05,3.941482e-05,7.456797e-06,-0.00016280569,-7.6613775e-05,-0.039308008,4000,4000,126,0,0,0,1
1771685122980000,1771685122980000,1771685122980000,1310988,1310988,2.1305288e-05,1.4913713e-05,2.1304818e-06,-0.00017238254,-5.746015e-05,-0.039336737,4000,4000,126,0,0,0,1
1771685122984000,1771685122984000,1771685122984000,1310988,1310988,2.3435829e-05,-2.8762146e-05,5.326242e-06,-0.00017238254,-7.1825365e-05,-0.039437287,4000,4000,126,0,0,0,1
1771685122988000,1771685122988000,1771685122988000,1310988,1310988,1.810947e-05,-6.498116e-05,2.3435732e-05,-9.5768075e-05,-0.00014843984,-0.03948039,4000,4000,126,0,0,0,1
1771685122992000,1771685122992000,1771685122992000,1310988,1310988,2.130654e-06,-6.391586e-05,-8.6035554e-11,-8.619126e-05,-0.00033039914,-0.039274484,4000,4000,126,0,0,0,1
1771685122996000,1771685122996000,1771685122996000,1310988,1310988,1.0652804e-05,-3.089267e-05,-2.9827354e-05,-9.576807e-05,-0.0003543412,-0.03914041,4000,4000,126,0,0,0,1
