timestamp,pub_timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,publisher_id,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1771685123400000,1771685123400000,-0.000580327,5.820766e-11,0.0003397599,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123408000,1771685123408000,0.0,1.4551915e-11,1.1641532e-10,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123416000,1771685123416000,-0.002875698,-0.002320922,0.00039179312,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123424000,1771685123424000,-0.0016331834,-0.0022196807,0.00025875028,0.0,0.0,0.0,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123432000,1771685123432000,0.002328794,0.0013113334,0.00033938565,0.0,0.0,-1.1641532e-10,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685123440000,1771685123440000,2.3283064e-10,0.0,2.910383e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123448000,1771685123448000,1.4551915e-10,-8.731149e-11,2.910383e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123456000,1771685123456000,0.0009428006,0.00057553337,0.0003684538,0.0,0.0,-1.1641532e-10,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685123464000,1771685123464000,-0.0016051477,1.1641532e-10,0.00030800534,0.0,0.0,-1.1641532e-10,0,27,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123472000,1771685123472000,-0.0028490585,-0.0035276162,0.00019910396,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123480000,1771685123480000,5.820766e-11,0.0,-1.4551915e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123488000,1771685123488000,0.00038882138,-0.001062365,-2.7897077e-05,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123496000,1771685123496000,5.820766e-11,1.1641532e-10,0.0,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
