timestamp,timestamp_sample,pub_timestamp,device_id,bias,bias_var,innov,innov_var,innov_test_ratio,publisher_id
1771685127988000,1771685127836000,0,6620172,0.04179378,0.103337884,-0.014018849,12.367077,1.7656926e-06,0
1771685128044000,1771685127888000,0,6620172,0.041540433,0.10340491,-0.030044511,12.367173,8.109934e-06,0
1771685128092000,1771685127940000,0,6620172,0.04105305,0.103337884,-0.05783682,12.367077,3.0053789e-05,0
1771685128148000,1771685127992000,0,6620172,0.040523652,0.10340491,-0.062781565,12.367173,3.541207e-05,0
1771685128196000,1771685128044000,0,6620172,0.040252626,0.103337884,-0.032161836,12.367077,9.293345e-06,0
1771685128252000,1771685128096000,0,6620172,0.04030229,0.10340491,0.005889952,12.367173,3.116812e-07,0
1771685128300000,1771685128148000,0,6620172,0.040262014,0.103337884,-0.0047798306,12.367077,2.0526524e-07,0
1771685128356000,1771685128200000,0,6620172,0.039878763,0.10340491,-0.045450002,12.367173,1.8559012e-05,0
1771685128404000,1771685128252000,0,6620172,0.039903518,0.103337884,0.0029373989,12.367077,7.752044e-08,0
1771685128460000,1771685128304000,0,6620172,0.04012288,0.10340491,0.026014451,12.367173,6.0801794e-06,0
1771685128508000,1771685128356000,0,6620172,0.040024195,0.103337884,-0.011711016,12.367077,1.2321954e-06,0
1771685128564000,1771685128408000,0,6620172,0.040117476,0.10340491,0.011062231,12.367173,1.0994424e-06,0
1771685128612000,1771685128460000,0,6620172,0.039652884,0.103337884,-0.055132125,12.367077,2.7308628e-05,0
1771685128668000,1771685128512000,0,6620172,0.03941476,0.10340491,-0.02823931,12.367173,7.164654e-06,0
1771685128716000,1771685128564000,0,6620172,0.040003534,0.103337884,0.069868684,12.367077,4.385868e-05,0
1771685128772000,1771685128616000,0,6620172,0.040211502,0.10340491,0.024663214,12.367173,5.4649527e-06,0
1771685128820000,1771685128668000,0,6620172,0.04076219,0.103337884,0.065348804,12.367077,3.8367692e-05,0
1771685128876000,1771685128720000,0,6620172,0.04057004,0.10340491,-0.022787336,12.367173,4.6652417e-06,0
1771685128924000,1771685128772000,0,6620172,0.040640403,0.103337884,0.008349638,12.367077,6.263625e-07,0
1771685128980000,1771685128824000,0,6620172,0.04052133,0.10340491,-0.014120627,12.367173,1.7914102e-06,0
1771685129028000,1771685128876000,0,6620172,0.04089659,0.103337884,0.04453116,12.367077,1.7816337e-05,0
1771685129084000,1771685128928000,0,6620172,0.04091355,0.10340491,0.002011124,12.367172,3.6338314e-08,0
1771685129132000,1771685128980000,0,6620172,0.040940896,0.103337884,0.0032453872,12.367077,9.4628824e-08,0
1771685129188000,1771685129032000,0,6620172,0.041280694,0.10340491,0.040296897,12.367172,1.4589161e-05,0
1771685129236000,1771685129084000,0,6620172,0.04146362,0.103337884,0.021707587,12.367077,4.233636e-06,0
1771685129292000,1771685129136000,0,6620172,0.041674975,0.10340491,0.0250647,12.367172,5.6443255e-06,0
1771685129340000,1771685129188000,0,6620172,0.041925043,0.103337884,0.029675122,12.367077,7.911803e-06,0
1771685129396000,1771685129240000,0,6620172,0.04236076,0.10340491,0.05167237,12.367172,2.3988541e-05,0
1771685129444000,1771685129292000,0,6620172,0.042276647,0.103337884,-0.00998161,12.367077,8.951413e-07,0
1771685129500000,1771685129344000,0,6620172,0.0426497,0.10340491,0.044240687,12.367172,1.7584533e-05,0
1771685129548000,1771685129396000,0,6620172,0.0428967,0.103337884,0.029310748,12.367077,7.7187005e-06,0
1771685129604000,1771685129448000,0,6620172,0.043355364,0.10340491,0.05439334,12.367172,2.6581441e-05,0
1771685129652000,1771685129500000,0,6620172,0.043405082,0.103337884,0.0059000067,12.367077,3.1274865e-07,0
1771685129708000,1771685129552000,0,6620172,0.04382163,0.10340491,0.049398873,12.367172,2.1924068e-05,0
1771685129756000,1771685129604000,0,6620172,0.04362542,0.103337884,-0.023283299,12.367077,4.8705665e-06,0
1771685129812000,1771685129656000,0,6620172,0.04391299,0.10340491,0.03410285,12.367172,1.0448848e-05,0
1771685129860000,1771685129708000,0,6620172,0.04402153,0.103337884,0.012880225,12.367077,1.4905182e-06,0
1771685129916000,1771685129760000,0,6620172,0.04413231,0.10340491,0.013137896,12.367172,1.550739e-06,0
1771685129964000,1771685129812000,0,6620172,0.04457718,0.103337884,0.052791517,12.367077,2.50391e-05,0
1771685130020000,1771685129864000,0,6620172,0.04497973,0.10340491,0.047738492,12.367172,2.0475027e-05,0
1771685130068000,1771685129916000,0,6620172,0.045671795,0.103337884,0.082125984,12.367077,6.0597064e-05,0
1771685130124000,1771685129968000,0,6620172,0.0462787,0.10340491,0.07197347,12.367172,4.6540605e-05,0
1771685130172000,1771685130020000,0,6620172,0.04669725,0.103337884,0.049668565,12.367077,2.216428e-05,0
1771685130228000,1771685130072000,0,6620172,0.04678959,0.10340491,0.010950454,12.367172,1.0773363e-06,0
1771685130276000,1771685130124000,0,6620172,0.04705031,0.103337884,0.030938681,12.367077,8.599912e-06,0
1771685130332000,1771685130176000,0,6620172,0.047225103,0.10340491,0.020729233,12.367172,3.8605885e-06,0
1771685130380000,1771685130228000,0,6620172,0.048002403,0.103337884,0.09224023,12.367077,7.6441844e-05,0
1771685130436000,1771685130280000,0,6620172,0.048288316,0.10340491,0.033906776,12.367172,1.0329043e-05,0
1771685130484000,1771685130332000,0,6620172,0.048855294,0.103337884,0.06728175,12.367077,4.0671017e-05,0
1771685130540000,1771685130384000,0,6620172,0.04944153,0.10340491,0.069522396,12.367172,4.3424672e-05,0
1771685130588000,1771685130436000,0,6620172,0.050182924,0.103337884,0.08797912,12.367077,6.95424e-05,0
1771685130644000,1771685130488000,0,6620172,0.050666098,0.10340491,0.057299986,12.367172,2.9498242e-05,0
1771685130692000,1771685130540000,0,6620172,0.051739205,0.103337884,0.12734294,12.367077,0.0001456935,0
