timestamp,timestamp_sample,pub_timestamp,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,publisher_id,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1771685725796000,1771685725644000,1771685725796000,17764060236391,0.0001797911,0.007256554,0.019398043,0,0.12171954,0.11381848,0.017977612,0.014400554,0.0025851317,0.010630235,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.24778,63.1572,0.48056105,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725804000,1771685725652000,1771685725804000,17764060236391,0.00017364912,0.0071982746,0.019363832,0,0.12213401,0.11407155,0.017977612,0.014400554,0.0025851317,0.010630235,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.24778,63.1572,0.48056105,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725812000,1771685725660000,1771685725812000,17764060236391,0.0001683036,0.007458858,0.019347603,0,0.119886555,0.11274726,0.017977612,0.01447253,0.0024538448,0.010357216,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.24778,63.1572,0.48056105,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725820000,1771685725668000,1771685725820000,17764060236391,0.00016183828,0.0073912707,0.019309366,0,0.120288625,0.11299669,0.017977612,0.01447253,0.0024538448,0.010357216,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.24778,63.1572,0.48056105,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725828000,1771685725676000,1771685725828000,17764060236391,0.0001553885,0.007325119,0.019270813,0,0.12069344,0.113246955,0.017977612,0.01447253,0.0024538448,0.010357216,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.24778,63.1572,0.48056105,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725836000,1771685725684000,1771685725836000,17764060236391,0.00014898619,0.007302023,0.019383544,0,0.12110099,0.113438934,0.017977612,0.01447253,0.0024538448,0.010486506,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.24778,63.1572,0.48056105,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725844000,1771685725692000,1771685725844000,17764060236391,0.00014263646,0.0072378833,0.019341197,0,0.12151132,0.11369074,0.017977612,0.01447253,0.0024538448,0.010486506,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.24778,63.1572,0.48056105,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725852000,1771685725700000,1771685725852000,17764060236391,0.0001363341,0.0071753734,0.019300435,0,0.1219244,0.11394338,0.017977612,0.01447253,0.0024538448,0.010486506,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.24778,63.1572,0.48056105,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725860000,1771685725708000,1771685725860000,17764060236391,0.00022462773,0.0074799852,0.019465363,0,0.11968954,0.112624206,0.020957224,0.01457689,0.0026110865,0.010176834,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.551315,63.1572,0.47617692,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725868000,1771685725716000,1771685725868000,17764060236391,0.00021833437,0.007407105,0.019418603,0,0.12009027,0.11287322,0.020957224,0.01457689,0.0026110865,0.010176834,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.551315,63.1572,0.47617692,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
