timestamp,pub_timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,publisher_id,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
1771685725744000,1771685725744000,-0.0037284445,-0.0047936724,0.001331591,4000,0,0.028730419,0.017956685,-9.829395,4000,126,0,0,0,1
1771685725748000,1771685725748000,0.0018642019,-0.0039947308,0.007989491,4000,0,0.008379707,0.044292904,-9.850944,4000,126,0,0,0,1
1771685725752000,1771685725752000,-0.0037284188,-0.0021305385,-0.0010652707,4000,0,0.0011971012,0.019153785,-9.822213,4000,126,0,0,0,1
1771685725756000,1771685725756000,-0.012516855,-0.0021305324,-0.0063915937,4000,0,0.014365209,-0.01316794,-9.788693,4000,126,0,0,0,1
1771685725760000,1771685725760000,-0.0077231736,-0.00506002,-0.007190519,4000,0,-0.0011971012,0.023942187,-9.773129,4000,126,0,0,0,1
1771685725764000,1771685725764000,0.000266318,-0.005592663,-0.009054733,4000,0,-0.03711013,0.064643614,-9.7719345,4000,126,0,0,0,1
1771685725768000,1771685725768000,0.0045273867,-0.00426107,-0.013582114,4000,0,-0.035913024,0.05147551,-9.793483,4000,126,0,0,0,1
1771685725772000,1771685725772000,0.003728419,-0.005326321,-0.0122505445,4000,0,0.008379706,0.027533492,-9.801861,4000,126,0,0,0,1
1771685725776000,1771685725776000,-0.006125286,-0.0039947163,-0.0005326482,4000,0,0.014365209,0.028730594,-9.775526,4000,126,0,0,0,1
1771685725780000,1771685725780000,-0.011984235,1.4527139e-08,0.006125255,4000,0,-0.001197101,0.050278414,-9.764752,4000,126,0,0,0,1
1771685725784000,1771685725784000,-0.007723167,-0.00026630328,0.0071905362,4000,0,0.010773908,0.049081307,-9.807848,4000,126,0,0,0,1
1771685725788000,1771685725788000,-0.0037284172,-0.0037284244,0.003994751,4000,0,0.008379706,0.035913195,-9.846155,4000,126,0,0,0,1
1771685725792000,1771685725792000,-0.00053261954,-0.004527382,-0.0053263176,4000,0,-0.008379706,0.02274509,-9.821014,4000,126,0,0,0,1
1771685725796000,1771685725796000,0.0021305417,-0.0005326375,-0.009054744,4000,0,0.017956512,-0.0023940313,-9.785104,4000,126,0,0,0,1
1771685725800000,1771685725800000,0.0005326588,0.008255805,-0.009054741,4000,0,0.058657944,-0.047883864,-9.795877,4000,126,0,0,0,1
1771685725804000,1771685725804000,-0.0042610555,0.009853711,-0.009853683,4000,0,0.046686936,-0.06224907,-9.800665,4000,126,0,0,0,1
1771685725808000,1771685725808000,-0.00559266,0.0005326409,-0.006924201,4000,0,0.019153615,0.007182776,-9.7719345,4000,126,0,0,0,1
1771685725812000,1771685725812000,-1.1064188e-08,-0.00506,0.003462119,4000,0,0.017956512,0.08260013,-9.773129,4000,126,0,0,0,1
1771685725816000,1771685725816000,-0.0015979067,-0.006657904,0.010386326,4000,0,0.011971008,0.081403024,-9.783906,4000,126,0,0,0,1
1771685725820000,1771685725820000,-0.009587386,-0.0029295068,0.0071905158,4000,0,-0.011971009,0.029927693,-9.734824,4000,126,0,0,0,1
1771685725824000,1771685725824000,-0.0055926554,0.005592635,0.0029294537,4000,0,-0.044292733,-0.0011969313,-9.71208,4000,126,0,0,0,1
1771685725828000,1771685725828000,0.0037284142,0.007723168,-0.0021305503,4000,0,-0.047884032,-0.01316794,-9.770737,4000,126,0,0,0,1
1771685725832000,1771685725832000,0.0063915793,0.0037284265,-0.00426107,4000,0,-0.023942018,0.020350885,-9.800665,4000,126,0,0,0,1
1771685725836000,1771685725836000,0.000266309,-0.0010652551,-0.0045273774,4000,0,-0.023942018,0.07781173,-9.78989,4000,126,0,0,0,1
1771685725840000,1771685725840000,-0.0037284335,-0.005060001,-1.8614208e-09,4000,0,-0.007182605,0.06703782,-9.7863,4000,126,0,0,0,1
1771685725844000,1771685725844000,0.00026630895,-0.005326317,0.0042610653,4000,0,0.032321725,0.033519,-9.785103,4000,126,0,0,0,1
1771685725848000,1771685725848000,0.002929478,-0.0026631572,0.0018642179,4000,0,0.01316811,0.0047885748,-9.7958765,4000,126,0,0,0,1
1771685725852000,1771685725852000,0.0010652675,-0.0050600055,0.000266312,4000,0,-0.023942016,-0.007182434,-9.824608,4000,126,0,0,0,1
1771685725856000,1771685725856000,-0.002663153,-0.0061252695,-0.0045273816,4000,0,-0.004788404,0.013168282,-9.859324,4000,126,0,0,0,1
1771685725860000,1771685725860000,-0.0018642033,-0.00079895015,-0.0053263255,4000,0,0.031124622,-0.004788232,-9.861718,4000,126,0,0,0,1
1771685725864000,1771685725864000,-0.00026631766,-0.0010652649,-0.0013315801,4000,0,0.047884032,-0.01436504,-9.825805,4000,126,0,0,0,1
1771685725868000,1771685725868000,0.00079894875,0.0005326319,-0.0002663159,4000,0,0.05267244,0.02513929,-9.807847,4000,126,0,0,0,1
1771685725872000,1771685725872000,0.0037284268,0.0053263213,0.0023968455,4000,0,0.040701427,0.029927695,-9.817425,4000,126,0,0,0,1
1771685725876000,1771685725876000,0.004261075,-0.0023968522,0.0085221045,4000,0,0.039504327,0.0047885748,-9.794681,4000,126,0,0,0,1
1771685725880000,1771685725880000,0.0031958257,-0.013582123,0.0082557835,4000,0,0.05506664,-0.0011969304,-9.773129,4000,126,0,0,0,1
1771685725884000,1771685725884000,0.0010653231,-0.01864212,-0.0015979122,4000,0,0.058657948,0.031124797,-9.791088,4000,126,0,0,0,1
1771685725888000,1771685725888000,-0.0015978697,-0.017310543,-0.0058589713,4000,0,0.058657948,0.06105232,-9.775527,4000,126,0,0,0,1
1771685725892000,1771685725892000,-0.0010652689,-0.008522116,-0.002130531,4000,0,0.05267244,0.0430958,-9.7719345,4000,126,0,0,0,1
