timestamp,pub_timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags,publisher_id
1771685729064000,1771685729064000,1771685729064000,0.48160616,0.4775565,0.47656995,0.48461723,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729068000,1771685729068000,1771685729068000,0.48231015,0.47801197,0.47757453,0.48446223,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729072000,1771685729072000,1771685729072000,0.47944754,0.48098844,0.47654074,0.48538214,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729076000,1771685729076000,1771685729076000,0.48153532,0.4869881,0.4799901,0.48990548,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729080000,1771685729080000,1771685729080000,0.48077106,0.48780918,0.4805462,0.48929253,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729084000,1771685729084000,1771685729084000,0.48087323,0.48877847,0.48086846,0.4898528,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729088000,1771685729088000,1771685729088000,0.4813504,0.48840305,0.47945318,0.49116632,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729092000,1771685729092000,1771685729092000,0.48484662,0.48742166,0.4803458,0.4926597,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729096000,1771685729096000,1771685729096000,0.48576722,0.48654136,0.4814205,0.4915447,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729100000,1771685729100000,1771685729100000,0.48499814,0.48826927,0.4813531,0.4925029,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729104000,1771685729104000,1771685729104000,0.48521242,0.48808017,0.47994688,0.49388394,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729108000,1771685729108000,1771685729108000,0.48630553,0.4878046,0.48118255,0.4934217,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729112000,1771685729112000,1771685729112000,0.48582637,0.4883451,0.48305357,0.49148935,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729116000,1771685729116000,1771685729116000,0.4886929,0.49358937,0.48762086,0.49471352,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729120000,1771685729120000,1771685729120000,0.48639455,0.49613905,0.4859227,0.49616036,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729124000,1771685729124000,1771685729124000,0.4849395,0.49866784,0.4845223,0.49815476,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729128000,1771685729128000,1771685729128000,0.48679698,0.4970095,0.48670146,0.49577647,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729132000,1771685729132000,1771685729132000,0.49184936,0.49446398,0.49118686,0.49348843,nan,nan,nan,nan,nan,nan,nan,nan,0,27
