timestamp,timestamp_sample,pub_timestamp,information_event_changes,publisher_id,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
1771685834492000,1771684928340000,1771685834492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685835492000,1771684928340000,1771685835492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685836492000,1771684928340000,1771685836492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685837492000,1771684928340000,1771685837492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685838492000,1771684928340000,1771685838492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685839492000,1771684928340000,1771685839492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685840492000,1771684928340000,1771685840492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685841492000,1771684928340000,1771685841492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685842492000,1771684928340000,1771685842492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685843492000,1771684928340000,1771685843492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685844492000,1771684928340000,1771685844492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685845492000,1771684928340000,1771685845492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685846492000,1771684928340000,1771685846492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685847492000,1771684928340000,1771685847492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685848492000,1771684928340000,1771685848492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685849492000,1771684928340000,1771685849492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685850492000,1771684928340000,1771685850492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685851492000,1771684928340000,1771685851492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685852492000,1771684928340000,1771685852492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685853492000,1771684928340000,1771685853492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685854492000,1771684928340000,1771685854492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685855492000,1771684928340000,1771685855492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685856492000,1771684928340000,1771685856492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685857492000,1771684928340000,1771685857492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685858492000,1771684928340000,1771685858492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685859492000,1771684928340000,1771685859492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685860492000,1771684928340000,1771685860492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685861492000,1771684928340000,1771685861492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685862492000,1771684928340000,1771685862492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685863492000,1771684928340000,1771685863492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685864492000,1771684928340000,1771685864492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685865492000,1771684928340000,1771685865492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685866492000,1771684928340000,1771685866492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685867492000,1771684928340000,1771685867492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685868492000,1771684928340000,1771685868492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685869492000,1771684928340000,1771685869492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685870492000,1771684928340000,1771685870492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685871492000,1771684928340000,1771685871492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685872492000,1771684928340000,1771685872492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685873492000,1771684928340000,1771685873492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685874492000,1771684928340000,1771685874492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685875492000,1771684928340000,1771685875492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685876492000,1771684928340000,1771685876492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685877492000,1771684928340000,1771685877492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685878492000,1771684928340000,1771685878492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685879492000,1771684928340000,1771685879492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685880492000,1771684928340000,1771685880492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685881492000,1771684928340000,1771685881492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685882492000,1771684928340000,1771685882492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685883492000,1771684928340000,1771685883492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
