timestamp,pub_timestamp,publisher_id,geofence_max_dist_triggered,geofence_max_alt_triggered,geofence_custom_fence_triggered,geofence_action
1771685393364000,1771685393364000,96,0,0,0,2
1771685393620000,1771685393620000,96,0,0,0,2
1771685393868000,1771685393868000,96,0,0,0,2
1771685394124000,1771685394124000,96,0,0,0,2
1771685394372000,1771685394372000,96,0,0,0,2
1771685394628000,1771685394628000,96,0,0,0,2
1771685394876000,1771685394876000,96,0,0,0,2
1771685395132000,1771685395132000,96,0,0,0,2
1771685395380000,1771685395380000,96,0,0,0,2
1771685395636000,1771685395636000,96,0,0,0,2
1771685395884000,1771685395884000,96,0,0,0,2
1771685396140000,1771685396140000,96,0,0,0,2
1771685396388000,1771685396388000,96,0,0,0,2
1771685396644000,1771685396644000,96,0,0,0,2
1771685396892000,1771685396892000,96,0,0,0,2
1771685397148000,1771685397148000,96,0,0,0,2
1771685397396000,1771685397396000,96,0,0,0,2
1771685397652000,1771685397652000,96,0,0,0,2
1771685397900000,1771685397900000,96,0,0,0,2
1771685398156000,1771685398156000,96,0,0,0,2
1771685398404000,1771685398404000,96,0,0,0,2
1771685398660000,1771685398660000,96,0,0,0,2
1771685398908000,1771685398908000,96,0,0,0,2
1771685399164000,1771685399164000,96,0,0,0,2
1771685399412000,1771685399412000,96,0,0,0,2
1771685399668000,1771685399668000,96,0,0,0,2
1771685399916000,1771685399916000,96,0,0,0,2
1771685400172000,1771685400172000,96,0,0,0,2
1771685400420000,1771685400420000,96,0,0,0,2
1771685400676000,1771685400676000,96,0,0,0,2
1771685400924000,1771685400924000,96,0,0,0,2
1771685401180000,1771685401180000,96,0,0,0,2
1771685401428000,1771685401428000,96,0,0,0,2
1771685401684000,1771685401684000,96,0,0,0,2
1771685401932000,1771685401932000,96,0,0,0,2
1771685402188000,1771685402188000,96,0,0,0,2
1771685402436000,1771685402436000,96,0,0,0,2
1771685402692000,1771685402692000,96,0,0,0,2
1771685402940000,1771685402940000,96,0,0,0,2
1771685403196000,1771685403196000,96,0,0,0,2
1771685403444000,1771685403444000,96,0,0,0,2
1771685403700000,1771685403700000,96,0,0,0,2
1771685403948000,1771685403948000,96,0,0,0,2
1771685404204000,1771685404204000,96,0,0,0,2
1771685404452000,1771685404452000,96,0,0,0,2
1771685404708000,1771685404708000,96,0,0,0,2
1771685404956000,1771685404956000,96,0,0,0,2
1771685405212000,1771685405212000,96,0,0,0,2
1771685405460000,1771685405460000,96,0,0,0,2
1771685405716000,1771685405716000,96,0,0,0,2
1771685405964000,1771685405964000,96,0,0,0,2
1771685406220000,1771685406220000,96,0,0,0,2
1771685406468000,1771685406468000,96,0,0,0,2
1771685406724000,1771685406724000,96,0,0,0,2
1771685406972000,1771685406972000,96,0,0,0,2
1771685407228000,1771685407228000,96,0,0,0,2
1771685407476000,1771685407476000,96,0,0,0,2
1771685407732000,1771685407732000,96,0,0,0,2
1771685407980000,1771685407980000,96,0,0,0,2
1771685408236000,1771685408236000,96,0,0,0,2
1771685408484000,1771685408484000,96,0,0,0,2
1771685408740000,1771685408740000,96,0,0,0,2
1771685408988000,1771685408988000,96,0,0,0,2
1771685409244000,1771685409244000,96,0,0,0,2
1771685409492000,1771685409492000,96,0,0,0,2
1771685409748000,1771685409748000,96,0,0,0,2
1771685409996000,1771685409996000,96,0,0,0,2
1771685410252000,1771685410252000,96,0,0,0,2
1771685410500000,1771685410500000,96,0,0,0,2
1771685410756000,1771685410756000,96,0,0,0,2
1771685411004000,1771685411004000,96,0,0,0,2
1771685411260000,1771685411260000,96,0,0,0,2
1771685411508000,1771685411508000,96,0,0,0,2
1771685411764000,1771685411764000,96,0,0,0,2
1771685412012000,1771685412012000,96,0,0,0,2
1771685412268000,1771685412268000,96,0,0,0,2
1771685412516000,1771685412516000,96,0,0,0,2
1771685412772000,1771685412772000,96,0,0,0,2
1771685413020000,1771685413020000,96,0,0,0,2
1771685413276000,1771685413276000,96,0,0,0,2
1771685413524000,1771685413524000,96,0,0,0,2
1771685413780000,1771685413780000,96,0,0,0,2
1771685414028000,1771685414028000,96,0,0,0,2
1771685414284000,1771685414284000,96,0,0,0,2
1771685414532000,1771685414532000,96,0,0,0,2
1771685414788000,1771685414788000,96,0,0,0,2
1771685415036000,1771685415036000,96,0,0,0,2
1771685415292000,1771685415292000,96,0,0,0,2
1771685415540000,1771685415540000,96,0,0,0,2
1771685415796000,1771685415796000,96,0,0,0,2
1771685416044000,1771685416044000,96,0,0,0,2
1771685416300000,1771685416300000,96,0,0,0,2
1771685416548000,1771685416548000,96,0,0,0,2
1771685416804000,1771685416804000,96,0,0,0,2
1771685417052000,1771685417052000,96,0,0,0,2
1771685417308000,1771685417308000,96,0,0,0,2
1771685417556000,1771685417556000,96,0,0,0,2
1771685417812000,1771685417812000,96,0,0,0,2
1771685418060000,1771685418060000,96,0,0,0,2
1771685418316000,1771685418316000,96,0,0,0,2
1771685418564000,1771685418564000,96,0,0,0,2
1771685418820000,1771685418820000,96,0,0,0,2
1771685419068000,1771685419068000,96,0,0,0,2
1771685419324000,1771685419324000,96,0,0,0,2
1771685419572000,1771685419572000,96,0,0,0,2
1771685419828000,1771685419828000,96,0,0,0,2
1771685420076000,1771685420076000,96,0,0,0,2
1771685420332000,1771685420332000,96,0,0,0,2
1771685420580000,1771685420580000,96,0,0,0,2
1771685420836000,1771685420836000,96,0,0,0,2
1771685421084000,1771685421084000,96,0,0,0,2
1771685421340000,1771685421340000,96,0,0,0,2
1771685421588000,1771685421588000,96,0,0,0,2
1771685421844000,1771685421844000,96,0,0,0,2
1771685422092000,1771685422092000,96,0,0,0,2
1771685422348000,1771685422348000,96,0,0,0,2
1771685422596000,1771685422596000,96,0,0,0,2
1771685422852000,1771685422852000,96,0,0,0,2
1771685423100000,1771685423100000,96,0,0,0,2
1771685423356000,1771685423356000,96,0,0,0,2
1771685423604000,1771685423604000,96,0,0,0,2
1771685423860000,1771685423860000,96,0,0,0,2
1771685424108000,1771685424108000,96,0,0,0,2
1771685424364000,1771685424364000,96,0,0,0,2
1771685424612000,1771685424612000,96,0,0,0,2
1771685424868000,1771685424868000,96,0,0,0,2
1771685425116000,1771685425116000,96,0,0,0,2
1771685425372000,1771685425372000,96,0,0,0,2
1771685425620000,1771685425620000,96,0,0,0,2
1771685425876000,1771685425876000,96,0,0,0,2
1771685426124000,1771685426124000,96,0,0,0,2
1771685426380000,1771685426380000,96,0,0,0,2
1771685426628000,1771685426628000,96,0,0,0,2
1771685426884000,1771685426884000,96,0,0,0,2
1771685427132000,1771685427132000,96,0,0,0,2
1771685427388000,1771685427388000,96,0,0,0,2
1771685427636000,1771685427636000,96,0,0,0,2
1771685427892000,1771685427892000,96,0,0,0,2
1771685428140000,1771685428140000,96,0,0,0,2
1771685428396000,1771685428396000,96,0,0,0,2
1771685428644000,1771685428644000,96,0,0,0,2
1771685428900000,1771685428900000,96,0,0,0,2
1771685429148000,1771685429148000,96,0,0,0,2
1771685429404000,1771685429404000,96,0,0,0,2
1771685429652000,1771685429652000,96,0,0,0,2
1771685429908000,1771685429908000,96,0,0,0,2
1771685430156000,1771685430156000,96,0,0,0,2
1771685430412000,1771685430412000,96,0,0,0,2
1771685430660000,1771685430660000,96,0,0,0,2
1771685430916000,1771685430916000,96,0,0,0,2
1771685431164000,1771685431164000,96,0,0,0,2
1771685431420000,1771685431420000,96,0,0,0,2
1771685431668000,1771685431668000,96,0,0,0,2
1771685431924000,1771685431924000,96,0,0,0,2
1771685432172000,1771685432172000,96,0,0,0,2
