timestamp,pub_timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel,publisher_id
1771685327288000,1771685327288000,32767,32767,32767,32767,32767,32767,32767,160
1771685327292000,1771685327292000,32767,32767,32767,32767,32767,32767,32767,160
1771685327296000,1771685327296000,32767,32767,32767,32767,32767,32767,32767,160
1771685327300000,1771685327300000,32767,32767,32767,32767,32767,32767,32767,160
1771685327304000,1771685327304000,32767,32767,32767,32767,32767,32767,32767,160
1771685327308000,1771685327308000,32767,32767,32767,32767,32767,32767,32767,160
1771685327312000,1771685327312000,32767,32767,32767,32767,32767,32767,32767,160
1771685327316000,1771685327316000,32767,32767,32767,32767,32767,32767,32767,160
1771685327320000,1771685327320000,32767,32767,32767,32767,32767,32767,32767,160
1771685327324000,1771685327324000,32767,32767,32767,32767,32767,32767,32767,160
1771685327328000,1771685327328000,32767,32767,32767,32767,32767,32767,32767,160
1771685327332000,1771685327332000,32767,32767,32767,32767,32767,32767,32767,160
1771685327336000,1771685327336000,32767,32767,32767,32767,0,32767,32767,160
1771685327340000,1771685327340000,32767,32767,32767,32767,32767,32767,32767,160
1771685327344000,1771685327344000,32767,32767,32767,32767,32767,32767,32767,160
1771685327348000,1771685327348000,32767,32767,32767,32767,32767,32767,32767,160
1771685327352000,1771685327352000,32767,32767,32767,32767,32767,32767,32767,160
1771685327356000,1771685327356000,32767,32767,32767,32767,32767,32767,32767,160
1771685327360000,1771685327360000,32767,32767,32767,32767,32767,0,32767,160
1771685327364000,1771685327364000,32767,32767,32767,32767,32767,0,32767,160
1771685327368000,1771685327368000,32767,32767,32767,32767,32767,32767,32767,160
1771685327372000,1771685327372000,32767,32767,32767,32767,32767,32767,32767,160
1771685327376000,1771685327376000,32767,32767,32767,32767,32767,32767,32767,160
1771685327380000,1771685327380000,32767,32767,32767,32767,32767,32767,32767,160
1771685327384000,1771685327384000,32767,32767,32767,32767,32767,32767,32767,160
1771685327388000,1771685327388000,32767,32767,32767,32767,0,32767,32767,160
1771685327392000,1771685327392000,32767,32767,32767,32767,32767,32767,32767,160
1771685327396000,1771685327396000,32767,32767,32767,32767,32767,32767,32767,160
1771685327400000,1771685327400000,32767,32767,32767,32767,32767,32767,32767,160
1771685327404000,1771685327404000,32767,32767,32767,32767,32767,32767,32767,160
1771685327408000,1771685327408000,32767,32767,32767,32767,32767,32767,32767,160
1771685327412000,1771685327412000,32767,32767,32767,32767,32767,32767,32767,160
1771685327416000,1771685327416000,32767,32767,32767,32767,32767,32767,32767,160
1771685327420000,1771685327420000,32767,32767,32767,32767,32767,32767,32767,160
1771685327424000,1771685327424000,32767,32767,32767,32767,32767,32767,32767,160
1771685327428000,1771685327428000,32767,32767,32767,32767,32767,32767,32767,160
1771685327432000,1771685327432000,32767,32767,32767,32767,32767,32767,32767,160
1771685327436000,1771685327436000,32767,32767,32767,32767,32767,32767,32767,160
1771685327440000,1771685327440000,32767,32767,32767,32767,0,32767,32767,160
1771685327444000,1771685327444000,32767,32767,32767,32767,32767,32767,32767,160
1771685327448000,1771685327448000,32767,32767,32767,32767,32767,32767,32767,160
1771685327452000,1771685327452000,32767,32767,32767,32767,32767,32767,32767,160
1771685327456000,1771685327456000,32767,32767,32767,32767,32767,32767,32767,160
1771685327460000,1771685327460000,32767,32767,32767,32767,32767,32767,32767,160
1771685327464000,1771685327464000,32767,32767,32767,32767,32767,32767,32767,160
1771685327468000,1771685327468000,32767,32767,32767,32767,32767,32767,32767,160
1771685327472000,1771685327472000,32767,32767,32767,32767,32767,32767,32767,160
1771685327476000,1771685327476000,32767,32767,32767,32767,32767,32767,32767,160
1771685327480000,1771685327480000,32767,32767,32767,32767,32767,32767,32767,160
1771685327484000,1771685327484000,32767,32767,32767,32767,32767,32767,32767,160
1771685327488000,1771685327488000,32767,32767,32767,32767,32767,32767,32767,160
1771685327492000,1771685327492000,32767,32767,32767,32767,0,32767,32767,160
1771685327496000,1771685327496000,32767,32767,32767,32767,32767,0,32767,160
1771685327500000,1771685327500000,32767,32767,32767,32767,32767,0,32767,160
1771685327504000,1771685327504000,32767,32767,32767,32767,32767,32767,32767,160
1771685327508000,1771685327508000,32767,32767,32767,32767,32767,32767,32767,160
1771685327512000,1771685327512000,32767,32767,32767,32767,32767,32767,32767,160
1771685327516000,1771685327516000,32767,32767,32767,32767,32767,32767,32767,160
1771685327520000,1771685327520000,32767,32767,32767,32767,32767,32767,32767,160
1771685327524000,1771685327524000,32767,32767,32767,32767,32767,32767,32767,160
1771685327528000,1771685327528000,32767,32767,32767,32767,32767,32767,32767,160
1771685327532000,1771685327532000,32767,32767,32767,32767,32767,32767,32767,160
1771685327536000,1771685327536000,32767,32767,32767,32767,32767,32767,32767,160
1771685327540000,1771685327540000,32767,32767,32767,32767,32767,32767,32767,160
1771685327544000,1771685327544000,32767,32767,32767,32767,0,32767,32767,160
1771685327548000,1771685327548000,32767,32767,32767,32767,32767,32767,32767,160
1771685327552000,1771685327552000,32767,32767,32767,32767,32767,32767,32767,160
1771685327556000,1771685327556000,32767,32767,32767,32767,32767,32767,32767,160
1771685327560000,1771685327560000,32767,32767,32767,32767,32767,32767,32767,160
1771685327564000,1771685327564000,32767,32767,32767,32767,32767,32767,32767,160
1771685327568000,1771685327568000,32767,32767,32767,32767,32767,32767,32767,160
1771685327572000,1771685327572000,32767,32767,32767,32767,32767,32767,32767,160
1771685327576000,1771685327576000,32767,32767,32767,32767,32767,32767,32767,160
1771685327580000,1771685327580000,32767,32767,32767,32767,32767,32767,32767,160
1771685327584000,1771685327584000,32767,32767,32767,32767,32767,32767,32767,160
1771685327588000,1771685327588000,32767,32767,32767,32767,32767,32767,32767,160
1771685327592000,1771685327592000,32767,32767,32767,32767,32767,32767,32767,160
1771685327596000,1771685327596000,32767,32767,32767,32767,0,32767,32767,160
1771685327600000,1771685327600000,32767,32767,32767,32767,32767,32767,32767,160
1771685327604000,1771685327604000,32767,32767,32767,32767,32767,32767,32767,160
1771685327608000,1771685327608000,32767,32767,32767,32767,32767,32767,32767,160
1771685327612000,1771685327612000,32767,32767,32767,32767,32767,32767,32767,160
1771685327616000,1771685327616000,32767,32767,32767,32767,32767,32767,32767,160
1771685327620000,1771685327620000,32767,32767,32767,32767,32767,32767,32767,160
1771685327624000,1771685327624000,32767,32767,32767,32767,32767,32767,32767,160
1771685327628000,1771685327628000,32767,32767,32767,32767,32767,32767,32767,160
1771685327632000,1771685327632000,32767,32767,32767,32767,32767,0,32767,160
1771685327636000,1771685327636000,32767,32767,32767,32767,32767,0,32767,160
1771685327640000,1771685327640000,32767,32767,32767,32767,32767,32767,32767,160
1771685327644000,1771685327644000,32767,32767,32767,32767,32767,32767,32767,160
1771685327648000,1771685327648000,32767,32767,32767,32767,0,32767,32767,160
1771685327652000,1771685327652000,32767,32767,32767,32767,32767,32767,32767,160
1771685327656000,1771685327656000,32767,32767,32767,32767,32767,32767,32767,160
1771685327660000,1771685327660000,32767,32767,32767,32767,32767,32767,32767,160
1771685327664000,1771685327664000,32767,32767,32767,32767,32767,32767,32767,160
1771685327668000,1771685327668000,32767,32767,32767,32767,32767,32767,32767,160
1771685327672000,1771685327672000,32767,32767,32767,32767,32767,32767,32767,160
1771685327676000,1771685327676000,32767,32767,32767,32767,32767,32767,32767,160
1771685327680000,1771685327680000,32767,32767,32767,32767,32767,32767,32767,160
1771685327684000,1771685327684000,32767,32767,32767,32767,32767,32767,32767,160
1771685327688000,1771685327688000,32767,32767,32767,32767,32767,32767,32767,160
1771685327692000,1771685327692000,32767,32767,32767,32767,32767,32767,32767,160
1771685327696000,1771685327696000,32767,32767,32767,32767,32767,32767,32767,160
1771685327700000,1771685327700000,32767,32767,32767,32767,0,32767,32767,160
1771685327704000,1771685327704000,32767,32767,32767,32767,32767,32767,32767,160
1771685327708000,1771685327708000,32767,32767,32767,32767,32767,32767,32767,160
