timestamp,pub_timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,publisher_id,temperature_source,calibration_count
1771685331860000,1771685331860000,1771685331836000,6620172,488.93854,95588.46,15.0,1.1554567,126,0,1
1771685331912000,1771685331912000,1771685331888000,6620172,489.0512,95587.16,15.0,1.1554408,126,0,1
1771685331964000,1771685331964000,1771685331940000,6620172,489.1545,95585.96,15.0,1.1554264,126,0,1
1771685332016000,1771685332016000,1771685331992000,6620172,489.2202,95585.2,15.0,1.1554172,126,0,1
1771685332068000,1771685332068000,1771685332044000,6620172,489.27658,95584.586,15.0,1.1554098,126,0,1
1771685332120000,1771685332120000,1771685332096000,6620172,489.29535,95584.375,15.0,1.1554072,126,0,1
1771685332172000,1771685332172000,1771685332148000,6620172,489.33292,95583.93,15.0,1.1554018,126,0,1
1771685332224000,1771685332224000,1771685332200000,6620172,489.4456,95582.62,15.0,1.155386,126,0,1
1771685332276000,1771685332276000,1771685332252000,6620172,489.56766,95581.25,15.0,1.1553694,126,0,1
1771685332328000,1771685332328000,1771685332304000,6620172,489.624,95580.625,15.0,1.1553619,126,0,1
1771685332380000,1771685332380000,1771685332356000,6620172,489.65216,95580.26,15.0,1.1553575,126,0,1
1771685332432000,1771685332432000,1771685332408000,6620172,489.70383,95579.68,15.0,1.1553504,126,0,1
1771685332484000,1771685332484000,1771685332460000,6620172,489.8165,95578.39,15.0,1.1553348,126,0,1
1771685332536000,1771685332536000,1771685332512000,6620172,489.92447,95577.13,15.0,1.1553197,126,0,1
1771685332588000,1771685332588000,1771685332564000,6620172,489.92447,95577.16,15.0,1.1553199,126,0,1
1771685332640000,1771685332640000,1771685332616000,6620172,490.02307,95576.04,15.0,1.1553065,126,0,1
1771685332692000,1771685332692000,1771685332668000,6620172,490.05124,95575.695,15.0,1.1553023,126,0,1
1771685332744000,1771685332744000,1771685332720000,6620172,490.1733,95574.3,15.0,1.1552854,126,0,1
1771685332796000,1771685332796000,1771685332772000,6620172,490.23904,95573.53,15.0,1.1552762,126,0,1
1771685332848000,1771685332848000,1771685332824000,6620172,490.31885,95572.62,15.0,1.1552651,126,0,1
1771685332900000,1771685332900000,1771685332876000,6620172,490.3517,95572.25,15.0,1.1552607,126,0,1
1771685332952000,1771685332952000,1771685332928000,6620172,490.37988,95571.92,15.0,1.1552566,126,0,1
1771685333004000,1771685333004000,1771685332980000,6620172,490.49728,95570.555,15.0,1.1552402,126,0,1
1771685333056000,1771685333056000,1771685333032000,6620172,490.52075,95570.3,15.0,1.1552371,126,0,1
1771685333108000,1771685333108000,1771685333084000,6620172,490.63342,95569.01,15.0,1.1552215,126,0,1
1771685333160000,1771685333160000,1771685333136000,6620172,490.73672,95567.836,15.0,1.1552073,126,0,1
1771685333212000,1771685333212000,1771685333188000,6620172,490.7649,95567.51,15.0,1.1552033,126,0,1
1771685333264000,1771685333264000,1771685333240000,6620172,490.89166,95566.08,15.0,1.155186,126,0,1
1771685333316000,1771685333316000,1771685333292000,6620172,490.88696,95566.13,15.0,1.1551867,126,0,1
1771685333368000,1771685333368000,1771685333344000,6620172,491.0184,95564.59,15.0,1.155168,126,0,1
1771685333420000,1771685333420000,1771685333396000,6620172,491.05597,95564.195,15.0,1.1551633,126,0,1
1771685333472000,1771685333472000,1771685333448000,6620172,491.2015,95562.5,15.0,1.1551428,126,0,1
1771685333524000,1771685333524000,1771685333500000,6620172,491.25317,95561.92,15.0,1.1551358,126,0,1
1771685333576000,1771685333576000,1771685333552000,6620172,491.3142,95561.22,15.0,1.1551273,126,0,1
1771685333628000,1771685333628000,1771685333604000,6620172,491.4034,95560.18,15.0,1.1551148,126,0,1
1771685333680000,1771685333680000,1771685333656000,6620172,491.4879,95559.2,15.0,1.155103,126,0,1
1771685333732000,1771685333732000,1771685333708000,6620172,491.48322,95559.3,15.0,1.155104,126,0,1
1771685333784000,1771685333784000,1771685333760000,6620172,491.58652,95558.13,15.0,1.15509,126,0,1
1771685333836000,1771685333836000,1771685333812000,6620172,491.6945,95556.875,15.0,1.1550748,126,0,1
1771685333888000,1771685333888000,1771685333864000,6620172,491.7978,95555.7,15.0,1.1550606,126,0,1
1771685333940000,1771685333940000,1771685333916000,6620172,491.83536,95555.25,15.0,1.1550552,126,0,1
1771685333992000,1771685333992000,1771685333968000,6620172,491.8823,95554.7,15.0,1.1550486,126,0,1
1771685334044000,1771685334044000,1771685334020000,6620172,491.9903,95553.445,15.0,1.1550333,126,0,1
1771685334096000,1771685334096000,1771685334072000,6620172,492.12173,95551.984,15.0,1.1550157,126,0,1
1771685334148000,1771685334148000,1771685334124000,6620172,492.14053,95551.76,15.0,1.155013,126,0,1
1771685334200000,1771685334200000,1771685334176000,6620172,492.22034,95550.836,15.0,1.1550018,126,0,1
1771685334252000,1771685334252000,1771685334228000,6620172,492.30954,95549.82,15.0,1.1549895,126,0,1
1771685334304000,1771685334304000,1771685334280000,6620172,492.37527,95549.086,15.0,1.1549807,126,0,1
1771685334356000,1771685334356000,1771685334332000,6620172,492.4269,95548.47,15.0,1.1549731,126,0,1
1771685334408000,1771685334408000,1771685334384000,6620172,492.5349,95547.26,15.0,1.1549586,126,0,1
1771685334460000,1771685334460000,1771685334436000,6620172,492.59125,95546.59,15.0,1.1549505,126,0,1
1771685334512000,1771685334512000,1771685334488000,6620172,492.70862,95545.21,15.0,1.1549338,126,0,1
1771685334564000,1771685334564000,1771685334540000,6620172,492.7462,95544.836,15.0,1.1549293,126,0,1
1771685334616000,1771685334616000,1771685334592000,6620172,492.826,95543.89,15.0,1.1549178,126,0,1
1771685334668000,1771685334668000,1771685334644000,6620172,492.90112,95543.04,15.0,1.1549076,126,0,1
1771685334720000,1771685334720000,1771685334696000,6620172,492.99033,95542.04,15.0,1.1548954,126,0,1
1771685334772000,1771685334772000,1771685334748000,6620172,493.06543,95541.13,15.0,1.1548845,126,0,1
1771685334824000,1771685334824000,1771685334800000,6620172,493.16873,95540.0,15.0,1.1548709,126,0,1
1771685334876000,1771685334876000,1771685334852000,6620172,493.2767,95538.766,15.0,1.1548558,126,0,1
1771685334928000,1771685334928000,1771685334904000,6620172,493.2908,95538.59,15.0,1.1548538,126,0,1
1771685334980000,1771685334980000,1771685334956000,6620172,493.40347,95537.29,15.0,1.1548381,126,0,1
1771685335032000,1771685335032000,1771685335008000,6620172,493.4739,95536.5,15.0,1.1548285,126,0,1
1771685335084000,1771685335084000,1771685335060000,6620172,493.51147,95536.055,15.0,1.1548232,126,0,1
1771685335136000,1771685335136000,1771685335112000,6620172,493.5631,95535.47,15.0,1.154816,126,0,1
1771685335188000,1771685335188000,1771685335164000,6620172,493.69928,95533.87,15.0,1.1547967,126,0,1
1771685335240000,1771685335240000,1771685335216000,6620172,493.72745,95533.586,15.0,1.1547933,126,0,1
1771685335292000,1771685335292000,1771685335268000,6620172,493.80725,95532.68,15.0,1.1547823,126,0,1
1771685335344000,1771685335344000,1771685335320000,6620172,493.91525,95531.414,15.0,1.154767,126,0,1
1771685335396000,1771685335396000,1771685335372000,6620172,493.98566,95530.64,15.0,1.1547577,126,0,1
1771685335448000,1771685335448000,1771685335424000,6620172,494.09836,95529.336,15.0,1.1547419,126,0,1
1771685335500000,1771685335500000,1771685335476000,6620172,494.1359,95528.93,15.0,1.154737,126,0,1
1771685335552000,1771685335552000,1771685335528000,6620172,494.25327,95527.57,15.0,1.1547205,126,0,1
1771685335604000,1771685335604000,1771685335580000,6620172,494.3143,95526.86,15.0,1.154712,126,0,1
1771685335656000,1771685335656000,1771685335632000,6620172,494.34717,95526.47,15.0,1.1547073,126,0,1
1771685335708000,1771685335708000,1771685335684000,6620172,494.44107,95525.39,15.0,1.1546942,126,0,1
1771685335760000,1771685335760000,1771685335736000,6620172,494.54437,95524.21,15.0,1.15468,126,0,1
1771685335812000,1771685335812000,1771685335788000,6620172,494.63358,95523.195,15.0,1.1546677,126,0,1
1771685335864000,1771685335864000,1771685335840000,6620172,494.71808,95522.266,15.0,1.1546564,126,0,1
1771685335916000,1771685335916000,1771685335892000,6620172,494.72748,95522.12,15.0,1.1546546,126,0,1
1771685335968000,1771685335968000,1771685335944000,6620172,494.86832,95520.5,15.0,1.1546351,126,0,1
1771685336020000,1771685336020000,1771685335996000,6620172,494.93875,95519.695,15.0,1.1546254,126,0,1
1771685336072000,1771685336072000,1771685336048000,6620172,495.0045,95518.96,15.0,1.1546165,126,0,1
1771685336124000,1771685336124000,1771685336100000,6620172,495.05142,95518.414,15.0,1.1546099,126,0,1
1771685336176000,1771685336176000,1771685336152000,6620172,495.15002,95517.305,15.0,1.1545964,126,0,1
1771685336228000,1771685336228000,1771685336204000,6620172,495.22983,95516.39,15.0,1.1545855,126,0,1
1771685336280000,1771685336280000,1771685336256000,6620172,495.31436,95515.38,15.0,1.1545732,126,0,1
1771685336332000,1771685336332000,1771685336308000,6620172,495.43643,95513.99,15.0,1.1545564,126,0,1
1771685336384000,1771685336384000,1771685336360000,6620172,495.43643,95514.01,15.0,1.1545566,126,0,1
1771685336436000,1771685336436000,1771685336412000,6620172,495.6336,95511.75,15.0,1.1545293,126,0,1
1771685336488000,1771685336488000,1771685336464000,6620172,495.6289,95511.83,15.0,1.1545303,126,0,1
1771685336540000,1771685336540000,1771685336516000,6620172,495.70874,95510.91,15.0,1.1545192,126,0,1
1771685336592000,1771685336592000,1771685336568000,6620172,495.78854,95509.97,15.0,1.1545078,126,0,1
1771685336644000,1771685336644000,1771685336620000,6620172,495.9059,95508.61,15.0,1.1544914,126,0,1
1771685336696000,1771685336696000,1771685336672000,6620172,495.89185,95508.78,15.0,1.1544935,126,0,1
1771685336748000,1771685336748000,1771685336724000,6620172,496.04208,95507.11,15.0,1.1544733,126,0,1
1771685336800000,1771685336800000,1771685336776000,6620172,496.08432,95506.586,15.0,1.1544669,126,0,1
1771685336852000,1771685336852000,1771685336828000,6620172,496.19232,95505.336,15.0,1.1544518,126,0,1
1771685336904000,1771685336904000,1771685336880000,6620172,496.28622,95504.305,15.0,1.1544393,126,0,1
1771685336956000,1771685336956000,1771685336932000,6620172,496.32846,95503.78,15.0,1.154433,126,0,1
1771685337008000,1771685337008000,1771685336984000,6620172,496.4083,95502.87,15.0,1.1544219,126,0,1
1771685337060000,1771685337060000,1771685337036000,6620172,496.4928,95501.93,15.0,1.1544106,126,0,1
1771685337112000,1771685337112000,1771685337088000,6620172,496.5961,95500.71,15.0,1.1543959,126,0,1
1771685337164000,1771685337164000,1771685337140000,6620172,496.6806,95499.766,15.0,1.1543845,126,0,1
1771685337216000,1771685337216000,1771685337192000,6620172,496.74164,95499.08,15.0,1.1543761,126,0,1
1771685337268000,1771685337268000,1771685337244000,6620172,496.83084,95498.016,15.0,1.1543633,126,0,1
1771685337320000,1771685337320000,1771685337296000,6620172,496.90128,95497.25,15.0,1.1543541,126,0,1
1771685337372000,1771685337372000,1771685337348000,6620172,496.89658,95497.28,15.0,1.1543545,126,0,1
1771685337424000,1771685337424000,1771685337400000,6620172,497.02335,95495.805,15.0,1.1543366,126,0,1
1771685337476000,1771685337476000,1771685337452000,6620172,497.19235,95493.89,15.0,1.1543134,126,0,1
1771685337528000,1771685337528000,1771685337504000,6620172,497.23932,95493.375,15.0,1.1543072,126,0,1
1771685337580000,1771685337580000,1771685337556000,6620172,497.22992,95493.46,15.0,1.1543083,126,0,1
1771685337632000,1771685337632000,1771685337608000,6620172,497.31912,95492.47,15.0,1.1542963,126,0,1
