timestamp,pub_timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,publisher_id,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
1771685326752000,1771685326752000,16.189802,-1.0,0.0071090567,0.0,0.98996544,1.0011163,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.169802,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326760000,1771685326760000,16.189562,-1.0,0.007107635,0.0,0.9900074,1.0011115,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.169561,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326772000,1771685326772000,16.189201,-1.0,0.007106214,0.0,0.9900465,1.0011071,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.1692,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326780000,1771685326780000,16.188961,-1.0,0.007104793,0.0,0.99008465,1.0011029,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.16896,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326792000,1771685326792000,16.188602,-1.0,0.0071033724,0.0,0.99011993,1.001099,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.168602,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326800000,1771685326800000,16.188362,-1.0,0.007101952,0.0,0.9901533,1.0010952,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.168362,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326812000,1771685326812000,16.188002,-1.0,0.007100532,0.0,0.99018574,1.0010917,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.168001,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326820000,1771685326820000,16.187761,-1.0,0.007099112,0.0,0.9902153,1.0010884,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.16776,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326832000,1771685326832000,16.1874,-1.0,0.0070976927,0.0,0.99024296,1.0010853,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.1674,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326840000,1771685326840000,16.187162,-1.0,0.0070962734,0.0,0.9902687,1.0010823,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.167162,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326852000,1771685326852000,16.186802,-1.0,0.0070948545,0.0,0.99029255,1.0010798,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.166801,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326860000,1771685326860000,16.186562,-1.0,0.0070934356,0.0,0.9903145,1.0010773,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.166561,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326872000,1771685326872000,16.186201,-1.0,0.007092017,0.0,0.9903345,1.001075,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.1662,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326880000,1771685326880000,16.185963,-1.0,0.0070905993,0.0,0.99035263,1.001073,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.165962,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326892000,1771685326892000,16.185602,-1.0,0.0070891813,0.0,0.99036884,1.0010712,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.165602,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326900000,1771685326900000,16.185362,-1.0,0.007087764,0.0,0.99038315,1.0010697,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.165361,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326912000,1771685326912000,16.185001,-1.0,0.0070863464,0.0,0.9903965,1.0010682,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.165,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326920000,1771685326920000,16.184761,-1.0,0.0070849294,0.0,0.99040794,1.0010669,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.16476,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326932000,1771685326932000,16.184402,-1.0,0.007083513,0.0,0.9904175,1.0010659,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.164402,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
1771685326940000,1771685326940000,16.184162,-1.0,0.0070820963,0.0,0.9904251,1.001065,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.164162,16.18,0.98888874,0.0,0.0,6.0133185,0,0,0,0,0,0,0,0,0,24,1,4,0,0,1,0,0,0
