timestamp,pub_timestamp,load,ram_usage,publisher_id
1771685461616000,1771685461616000,0.0,0.0,109
1771685462116000,1771685462116000,0.0,0.0,109
1771685462616000,1771685462616000,0.0,0.0,109
1771685463116000,1771685463116000,0.0,0.0,109
1771685463616000,1771685463616000,0.0,0.0,109
1771685464116000,1771685464116000,0.0,0.0,109
1771685464616000,1771685464616000,0.0,0.0,109
1771685465116000,1771685465116000,0.0,0.0,109
1771685465616000,1771685465616000,0.0,0.0,109
1771685466116000,1771685466116000,0.0,0.0,109
1771685466616000,1771685466616000,0.0,0.0,109
1771685467116000,1771685467116000,0.0,0.0,109
1771685467616000,1771685467616000,0.0,0.0,109
1771685468116000,1771685468116000,0.0,0.0,109
1771685468616000,1771685468616000,0.0,0.0,109
1771685469116000,1771685469116000,0.0,0.0,109
1771685469616000,1771685469616000,0.0,0.0,109
1771685470116000,1771685470116000,0.0,0.0,109
1771685470616000,1771685470616000,0.0,0.0,109
1771685471116000,1771685471116000,0.0,0.0,109
1771685471616000,1771685471616000,0.0,0.0,109
1771685472116000,1771685472116000,0.0,0.0,109
1771685472616000,1771685472616000,0.0,0.0,109
1771685473116000,1771685473116000,0.0,0.0,109
1771685473616000,1771685473616000,0.0,0.0,109
1771685474116000,1771685474116000,0.0,0.0,109
1771685474616000,1771685474616000,0.0,0.0,109
1771685475116000,1771685475116000,0.0,0.0,109
1771685475616000,1771685475616000,0.0,0.0,109
1771685476116000,1771685476116000,0.0,0.0,109
1771685476616000,1771685476616000,0.0,0.0,109
1771685477116000,1771685477116000,0.0,0.0,109
1771685477616000,1771685477616000,0.0,0.0,109
1771685478116000,1771685478116000,0.0,0.0,109
1771685478616000,1771685478616000,0.0,0.0,109
1771685479116000,1771685479116000,0.0,0.0,109
1771685479616000,1771685479616000,0.0,0.0,109
1771685480116000,1771685480116000,0.0,0.0,109
1771685480616000,1771685480616000,0.0,0.0,109
1771685481116000,1771685481116000,0.0,0.0,109
1771685481616000,1771685481616000,0.0,0.0,109
1771685482116000,1771685482116000,0.0,0.0,109
1771685482616000,1771685482616000,0.0,0.0,109
1771685483116000,1771685483116000,0.0,0.0,109
1771685483616000,1771685483616000,0.0,0.0,109
1771685484116000,1771685484116000,0.0,0.0,109
1771685484616000,1771685484616000,0.0,0.0,109
1771685485116000,1771685485116000,0.0,0.0,109
1771685485616000,1771685485616000,0.0,0.0,109
1771685486116000,1771685486116000,0.0,0.0,109
1771685486616000,1771685486616000,0.0,0.0,109
1771685487116000,1771685487116000,0.0,0.0,109
1771685487616000,1771685487616000,0.0,0.0,109
1771685488116000,1771685488116000,0.0,0.0,109
1771685488616000,1771685488616000,0.0,0.0,109
1771685489116000,1771685489116000,0.0,0.0,109
1771685489616000,1771685489616000,0.0,0.0,109
1771685490116000,1771685490116000,0.0,0.0,109
1771685490616000,1771685490616000,0.0,0.0,109
1771685491116000,1771685491116000,0.0,0.0,109
1771685491616000,1771685491616000,0.0,0.0,109
1771685492116000,1771685492116000,0.0,0.0,109
1771685492616000,1771685492616000,0.0,0.0,109
1771685493116000,1771685493116000,0.0,0.0,109
1771685493616000,1771685493616000,0.0,0.0,109
1771685494116000,1771685494116000,0.0,0.0,109
1771685494616000,1771685494616000,0.0,0.0,109
1771685495116000,1771685495116000,0.0,0.0,109
1771685495616000,1771685495616000,0.0,0.0,109
1771685496116000,1771685496116000,0.0,0.0,109
1771685496616000,1771685496616000,0.0,0.0,109
1771685497116000,1771685497116000,0.0,0.0,109
1771685497616000,1771685497616000,0.0,0.0,109
1771685498116000,1771685498116000,0.0,0.0,109
1771685498616000,1771685498616000,0.0,0.0,109
1771685499116000,1771685499116000,0.0,0.0,109
1771685499616000,1771685499616000,0.0,0.0,109
1771685500116000,1771685500116000,0.0,0.0,109
1771685500616000,1771685500616000,0.0,0.0,109
1771685501116000,1771685501116000,0.0,0.0,109
1771685501616000,1771685501616000,0.0,0.0,109
1771685502116000,1771685502116000,0.0,0.0,109
1771685502616000,1771685502616000,0.0,0.0,109
1771685503116000,1771685503116000,0.0,0.0,109
1771685503616000,1771685503616000,0.0,0.0,109
1771685504116000,1771685504116000,0.0,0.0,109
1771685504616000,1771685504616000,0.0,0.0,109
1771685505116000,1771685505116000,0.0,0.0,109
1771685505616000,1771685505616000,0.0,0.0,109
1771685506116000,1771685506116000,0.0,0.0,109
1771685506616000,1771685506616000,0.0,0.0,109
1771685507116000,1771685507116000,0.0,0.0,109
1771685507616000,1771685507616000,0.0,0.0,109
1771685508116000,1771685508116000,0.0,0.0,109
1771685508616000,1771685508616000,0.0,0.0,109
1771685509116000,1771685509116000,0.0,0.0,109
1771685509616000,1771685509616000,0.0,0.0,109
1771685510116000,1771685510116000,0.0,0.0,109
1771685510616000,1771685510616000,0.0,0.0,109
