timestamp,pub_timestamp,publisher_id,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
1771685050452000,1771685050452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685051452000,1771685051452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685052452000,1771685052452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685053452000,1771685053452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685054452000,1771685054452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685055452000,1771685055452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685056452000,1771685056452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685057452000,1771685057452000,60,0,0,0,0,0,0,0,0,1,1,1,0
1771685058452000,1771685058452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685059452000,1771685059452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685060324000,1771685060324000,60,0,0,0,0,1,1,0,0,0,0,1,0
1771685061324000,1771685061324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685062324000,1771685062324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685063324000,1771685063324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685064324000,1771685064324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685065324000,1771685065324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685066324000,1771685066324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685067324000,1771685067324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685068324000,1771685068324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685069324000,1771685069324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685070324000,1771685070324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685071324000,1771685071324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685072324000,1771685072324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685073324000,1771685073324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685074324000,1771685074324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685075324000,1771685075324000,60,0,0,0,0,1,1,0,1,0,0,1,0
1771685076324000,1771685076324000,60,0,0,0,0,1,1,0,1,0,0,1,0
