timestamp,pub_timestamp,control_power[0],control_power[1],control_power[2],publisher_id
1771685046768000,1771685046768000,7.667778e-06,2.6464537e-05,9.706247e-08,39
1771685047268000,1771685047268000,6.49649e-06,2.515742e-05,1.0015313e-07,39
1771685047768000,1771685047768000,7.2492267e-06,1.6672682e-05,3.4715757e-08,39
1771685048268000,1771685048268000,7.5717207e-06,1.8766834e-05,1.3877904e-07,39
1771685048768000,1771685048768000,6.877318e-06,1.693942e-05,1.2602129e-07,39
1771685049268000,1771685049268000,7.995771e-06,1.9271525e-05,5.913481e-07,39
1771685049768000,1771685049768000,5.139471e-06,1.9273317e-05,4.5141593e-07,39
1771685050268000,1771685050268000,5.4451034e-06,1.5400477e-05,1.3199141e-07,39
1771685050768000,1771685050768000,4.369343e-06,2.47869e-05,3.5077537e-08,39
1771685051268000,1771685051268000,6.151172e-06,1.51631875e-05,7.28128e-08,39
1771685051768000,1771685051768000,6.862793e-06,1.9229708e-05,1.9949327e-07,39
1771685052268000,1771685052268000,4.9401724e-06,1.9979361e-05,8.847744e-08,39
1771685052768000,1771685052768000,6.5423706e-06,1.8069706e-05,1.7163109e-07,39
1771685053268000,1771685053268000,4.614038e-06,2.0236585e-05,2.4199477e-07,39
1771685053768000,1771685053768000,6.149148e-06,2.183237e-05,4.1814212e-07,39
1771685054268000,1771685054268000,5.9810627e-06,1.7512444e-05,1.9278774e-07,39
1771685054768000,1771685054768000,4.923511e-06,1.8537814e-05,2.2405528e-07,39
1771685055268000,1771685055268000,5.328871e-06,1.8223633e-05,5.3815008e-08,39
1771685055768000,1771685055768000,4.3523187e-06,1.8747744e-05,1.1949845e-07,39
1771685056268000,1771685056268000,6.1936785e-06,1.5142341e-05,3.699635e-07,39
1771685056768000,1771685056768000,5.445507e-06,1.7209471e-05,1.1859268e-07,39
1771685057268000,1771685057268000,7.214563e-06,2.7424612e-05,9.211036e-08,39
1771685057768000,1771685057768000,4.6061714e-06,2.115673e-05,1.6183616e-07,39
1771685058268000,1771685058268000,5.1126685e-06,1.5962716e-05,4.208359e-07,39
1771685058768000,1771685058768000,5.0039516e-06,1.5418686e-05,1.0760831e-06,39
1771685059268000,1771685059268000,5.8847672e-06,1.6833366e-05,2.1097549e-06,39
1771685059768000,1771685059768000,7.4793284e-06,8.242023e-06,1.0850949e-06,39
1771685060268000,1771685060268000,1.19865545e-05,1.1491565e-05,3.8666294e-05,39
1771685060768000,1771685060768000,5.049889e-05,1.061536e-05,0.0006754978,39
1771685061268000,1771685061268000,3.3145385e-05,1.563525e-05,0.00042616393,39
1771685061768000,1771685061768000,1.8884532e-05,1.3766742e-05,0.00023174987,39
1771685062268000,1771685062268000,2.0466468e-05,8.532882e-06,0.00023344634,39
1771685062768000,1771685062768000,6.930161e-05,1.1206636e-05,0.0009442221,39
1771685063268000,1771685063268000,5.120383e-05,5.9640283e-06,0.0007361204,39
1771685063768000,1771685063768000,1.1996683e-05,3.6682557e-06,0.00015094737,39
1771685064268000,1771685064268000,2.4285102e-05,1.3077461e-05,0.0002999418,39
1771685064768000,1771685064768000,1.2534171e-05,8.231426e-06,8.831078e-05,39
1771685065268000,1771685065268000,1.4025311e-05,6.3001703e-06,7.000479e-05,39
1771685065768000,1771685065768000,1.0750003e-05,5.899654e-06,5.8599203e-06,39
1771685066268000,1771685066268000,5.0729336e-06,7.7719815e-06,3.3976205e-06,39
